,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.9735859295199183,0.9714008816000159,0.9449171421789719,0.9726847015437288,0.0
1,16,False,0.977001404494382,0.9716137590882401,0.9514631192454308,0.9760759959476133,0.0
2,32,False,0.976331077630235,0.9748047879626567,0.9496001649604997,0.9754863269246916,0.0
3,64,False,0.9763151174668029,0.9705712514828295,0.9496608073093986,0.9753069659584229,0.0
4,100,False,0.9740806945863125,0.970808479370409,0.9427431718286869,0.9727353704787913,0.0
5,8,True,0.9688936414708886,0.9671583605983289,0.9422101290863674,0.967654050993922,0.0
6,16,True,0.9650791624106231,0.9585163980839926,0.9336307285659877,0.9632130799635262,0.0
7,32,True,0.9655260469867212,0.9560686001657452,0.9329619467914652,0.963296544875903,0.0
8,64,True,0.9543060520939735,0.9539131291058689,0.92172140671575,0.951604170631451,0.0
9,100,True,0.9650472420837589,0.9592342543482271,0.9324267286597168,0.9633109517235403,0.0
