,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.9696597293156282,0.9698413922922426,0.9398602680565235,0.9691003178442693,0.0
1,16,False,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
2,32,False,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
3,64,False,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
4,100,False,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
5,8,True,0.9610412410623085,0.9630838895392739,0.9315298416589792,0.959114430221582,0.0
6,16,True,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
7,32,True,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
8,64,True,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
9,100,True,0.17460418794688456,0.0,0.03716234577966194,0.05190960965647365,0.0
