,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.9692926455566905,0.9689163912810635,0.9399043945155086,0.9687693205276925,0.0
1,16,False,0.9736178498467825,0.9653154488521323,0.9449749738315263,0.9726850112223504,0.0
2,32,False,0.9756128702757916,0.9772674009734095,0.9482211853397758,0.9751842508539267,0.0
3,64,False,0.9784218590398366,0.975292413851855,0.9535496723293642,0.9775558650500419,0.0
4,100,False,0.9745275791624106,0.9692964121965866,0.9475460688003439,0.9738004129209044,0.0
5,8,True,0.9615040858018387,0.9608527075368029,0.9275365516821904,0.9591990924351677,0.0
6,16,True,0.9603230337078652,0.9530638253271781,0.9247345143325371,0.958400781771888,0.0
7,32,True,0.9618711695607763,0.9570751770726278,0.9321120723938134,0.9601074352773613,0.0
8,64,True,0.9611370020429009,0.9488787380307964,0.9304332294003794,0.9592330421742601,0.0
9,100,True,0.9621424923391215,0.9551898542839277,0.9294434267922453,0.9597769019169176,0.0
