,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.9640896322778345,0.9678786282430543,0.9287377715681271,0.9635574580421677,0.0
1,16,False,0.9667549795709908,0.9628123752205026,0.9322309625172642,0.9654492890127765,0.0
2,32,False,0.9738572522982636,0.9734009176389621,0.9463808228099109,0.9732888496328155,0.0
3,64,False,0.9751500255362615,0.9701207897501198,0.9459372146009768,0.9736315373333057,0.0
4,100,False,0.9738732124616956,0.9682207515757335,0.9435724701126074,0.9727397698129884,0.0
5,8,True,0.9598921092951992,0.9560769561530751,0.9283716397484617,0.9583600928352491,0.0
6,16,True,0.9568596782431052,0.9418629433713372,0.9214693711019202,0.9547118803112088,0.0
7,32,True,0.9625574565883555,0.962844930599134,0.9299004505997208,0.960076287038942,0.0
8,64,True,0.960706077630235,0.9569869018773765,0.9263575539454734,0.9579937689836316,0.0
9,100,True,0.9549284984678243,0.952102919346858,0.9202511489269493,0.9526519358173349,0.0
