,Accuracy,F1 median,F1 macro,F1 weigted,other T,CD4 T,B,CD8 T,HSC,Erythrocytes,NK,other,Monocytes,MK/E prog,Lymph prog,G/M prog,DC,concat,epoch,pearsons
0,0.89788818359375,0.8838028169014084,0.8094233351857512,0.8905495240148206,0.5196003074558032,0.9140144188500087,0.9837327269546965,0.9030523485687174,0.7795454545454545,0.9852284438337342,0.8687299893276413,0.49889624724061815,0.965586368192449,0.5448717948717949,0.9115755627009646,0.7638668779714738,0.8838028169014084,QR cite GEX,4,0.7568269513991024
1,0.8929443359375,0.8734835355285961,0.7968964732754343,0.8827575470413498,0.4525185796862098,0.9088055797733217,0.9826892813428921,0.8941765810895428,0.7915194346289752,0.9876203576341128,0.8679446219382322,0.42622950819672134,0.9649415692821368,0.5523809523809524,0.9108433734939758,0.7465007776049768,0.8734835355285961,QR merged cite GEX,4,0.0
2,0.7930147058823529,0.750795334040297,0.7200234132072292,0.7999312273310459,,0.7090668180957789,0.9323157260494075,0.7415000507459657,0.5563380281690141,0.8708871303623489,0.7711659409772618,,0.8551850159890361,0.4957264957264957,0.7517808219178083,0.4854961832061068,0.750795334040297,QR multiome GEX,4,0.07775700253436765
3,0.7875,0.7494736842105262,0.7196805282467796,0.7957230543345334,,0.7011210336310091,0.930410297666935,0.7303635432667691,0.5542949756888169,0.8655165246310539,0.7753711365295691,,0.8487738419618529,0.5070422535211269,0.7660044150110376,0.48811410459587956,0.7494736842105262,QR merged multiome GEX,4,0.0
4,0.13391544117647058,0.0898815931108719,0.08420957337694251,0.13272552306614677,,0.1460564751703992,0.13516188321787076,0.17201268946069795,0.007812499999999998,0.15490472829922372,0.0898815931108719,,0.14950634696755993,0.003656307129798903,0.03695806680881308,0.009600000000000001,0.020754716981132078,QR multiome ATAC,4,
5,0.7165441176470588,0.6685768863419294,0.6645421555474849,0.7335891892641193,,0.616019818331957,0.9006704486848891,0.6545337758269992,0.46464646464646464,0.7522475433828141,0.7440039158100833,,0.760184796304074,0.47500000000000003,0.7614325068870524,0.5126475548060708,0.6685768863419294,MP ADT through GEX,4,0.33186663887123397
6,0.8280418882978723,0.6984126984126984,0.6521198468614339,0.8220013381564214,0.0,0.6984126984126984,0.9416567695961995,0.5242879222786487,0.6746242263483643,0.9236234458259325,0.9048034934497817,0.0,0.9792422186130331,0.4927536231884059,0.7951153324287652,0.6601417482281471,0.8828965308286624,MP ATAC through GEX,4,0.4328184040834207
7,0.7874080882352941,0.7515789473684211,0.7206116593796056,0.7956948300257648,,0.701481200151918,0.9306910773564027,0.7299928271339277,0.5584415584415585,0.8652246256239601,0.7733463035019456,,0.8481960517358748,0.5133991537376585,0.7662624035281146,0.48811410459587956,0.7515789473684211,MP merged ADT through GEX,4,0.42686082141788706
8,0.9557568705673759,0.918426103646833,0.8865500743655388,0.9544410303866521,0.7262170611880304,0.9528335724533716,0.9736923553079542,0.9126857932941582,0.8829174664107486,0.9946780757591569,0.9640886323117414,0.6272264631043256,0.9880271384860981,0.8050314465408805,0.918426103646833,0.8291839557399723,0.950142902508733,MP merged ATAC through GEX,4,0.8134394039579821
9,0.89910888671875,0.901060070671378,0.8160632090234287,0.8918616516378273,0.5066666666666667,0.9159307665135994,0.9809273840769903,0.9077723474696515,0.7870370370370371,0.9858864027538725,0.8663300558065373,0.5183585313174947,0.9652406417112299,0.599406528189911,0.9124497991967871,0.761755485893417,0.901060070671378,QR cite GEX,8,0.756027354895128
10,0.89483642578125,0.8954703832752614,0.8061169310292888,0.8853339323973974,0.44904722452361234,0.9097638350370109,0.9816529792067097,0.9005137786081271,0.784869976359338,0.9869055823569951,0.8657112526539278,0.4803695150115473,0.9652406417112299,0.5971014492753624,0.9093851132686085,0.7534883720930233,0.8954703832752614,QR merged cite GEX,8,0.0
11,0.7686121323529411,0.72529262086514,0.6835909730431038,0.7745017086116374,,0.6991932385708797,0.9062980030721965,0.72529262086514,0.4716312056737588,0.8754139072847682,0.7284862932061977,,0.7827013208351086,0.4608294930875576,0.7517730496453899,0.43720930232558136,0.680672268907563,QR multiome GEX,8,0.07689909540378408
12,0.7591911764705882,0.7060527677185722,0.684741023737423,0.7667112068056935,,0.6797687861271676,0.9009157320712008,0.7060527677185722,0.49756097560975604,0.87398458654447,0.7292791735149097,,0.7770212765957447,0.4573170731707318,0.7627209426888056,0.47191011235955055,0.6756198347107438,QR merged multiome GEX,8,0.0
13,0.13943014705882353,0.0846740050804403,0.08961475452327194,0.13667925504047052,,0.15147342329936656,0.1215566243987757,0.1863077823288473,0.003669724770642202,0.1712466487935657,0.0846740050804403,,0.15731304722262093,0.011009174311926606,0.046767537826684996,0.019543973941368076,0.03220035778175313,QR multiome ATAC,8,
14,0.6566636029411764,0.6174584193934124,0.6069982341674508,0.677099192319128,,0.5622633990834827,0.825848142164782,0.6174584193934124,0.4356197352587244,0.7248479176415535,0.7008354030255137,,0.6414639050874724,0.3963963963963964,0.7213955874807593,0.4645550527903469,0.5862966175195142,MP ADT through GEX,8,0.32271896660218113
15,0.8334995567375887,0.6954088408271675,0.6577872951329338,0.8255502798299343,0.0,0.6954088408271675,0.9177853566504608,0.5507426441520303,0.6483151400094922,0.984246218049035,0.8882284067369179,0.0,0.9698340537029987,0.5785482123510292,0.7879656160458453,0.6474442988204455,0.8827160493827161,MP ATAC through GEX,8,0.44337806642297256
