,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.23582347140039447,0.048355355636772554,0.09854014149055816,0.21277720700662553
1,8,False,both,0.27958579881656803,0.038521836506159014,0.09994510601103951,0.22333466645256939
2,16,False,both,0.24713387573964496,0.0689118162351567,0.11122475411315046,0.22598671786871874
3,32,False,both,0.22038338264299803,0.09824095585794888,0.10701845557805444,0.21425080130200957
4,50,False,both,0.26679610453648916,0.06269716088328076,0.11087092663559027,0.23003287530993297
5,4,True,RNA,0.7579820019723866,0.7336891031158547,0.5897873157164883,0.7561470991622576
6,4,True,image,0.273021449704142,0.05400696864111498,0.08962907598280331,0.2123204881323531
7,8,True,RNA,0.7651627218934911,0.7387513079874433,0.5965998478407026,0.7607433040121356
8,8,True,image,0.27933925049309666,0.043818966895889974,0.09111906005427678,0.21161166778210264
9,16,True,RNA,0.7588141025641025,0.7450457951706912,0.6002208866480966,0.7591070242202859
10,16,True,image,0.20195389546351084,0.04664970313825276,0.09158772422186989,0.1961647679264944
11,32,True,RNA,0.7647312623274162,0.7414600312120685,0.595370949256994,0.7609048256669694
12,32,True,image,0.2351146449704142,0.02871096640520941,0.07582509564879383,0.1810082837219
13,50,True,RNA,0.7718811637080868,0.7389926030292356,0.605174500525699,0.7694615863565248
14,50,True,image,0.22984467455621302,0.043319653442772464,0.08327313713828342,0.18954318464155426
