,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.7671659270216963,0.7346147064009876,0.6030142725143796,0.7645786373085811
1,8,False,both,0.7669193786982249,0.7416879795396419,0.6114285271655904,0.7646187998266408
2,16,False,both,0.7711723372781065,0.747279322853688,0.60780593733615,0.7691704779933483
3,32,False,both,0.788646449704142,0.7633119598550321,0.6014309255870895,0.7867271656826909
4,64,False,both,0.7831299309664694,0.7577213452299244,0.6004876362828822,0.7821429197376333
5,100,False,both,0.7887080867850098,0.7504533407727717,0.6001463216924791,0.7885507506500815
6,4,True,RNA,0.7578587278106509,0.7411488292959573,0.5978135200425149,0.7586741924946251
7,4,True,image,0.13584812623274162,0.007231404958677687,0.061412773653107745,0.10426955765238975
8,8,True,RNA,0.7621733234714004,0.7231043710972347,0.6026457056672666,0.76008278800321
9,8,True,image,0.20149161735700197,0.0012262415695892092,0.09888054989847736,0.19419431023963277
10,16,True,RNA,0.7669501972386588,0.7244825124910778,0.6029076238473583,0.7639328364502724
11,16,True,image,0.17242973372781065,0.0,0.03371859035921982,0.0560185371013994
12,32,True,RNA,0.796042899408284,0.762576097404678,0.6032263793075308,0.7920709590920926
13,32,True,image,0.208888067061144,0.0,0.06084155165519414,0.14275004243300957
14,64,True,RNA,0.7949026134122288,0.7578299776286354,0.6014175030049613,0.7905633984880419
15,64,True,image,0.32152983234714005,0.0036923076923076927,0.06587454056913057,0.19121940039243704
16,100,True,RNA,0.7860576923076923,0.7585758413266136,0.603493017043093,0.7872145976435386
17,100,True,image,0.11760355029585799,0.0037313432835820895,0.04337159635520547,0.05083505247950473
