,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.27822978303747536,0.007936507936507936,0.09134402376436526,0.21614098877490517
1,8,False,both,0.18250739644970415,0.09996074839722623,0.10385404763631066,0.1910506493101686
2,16,False,both,0.2520956607495069,0.058108386565011334,0.10990135861349772,0.23044744701257483
3,32,False,both,0.24972263313609466,0.02181208053691275,0.09269569438894615,0.2058332769852328
4,47,False,both,0.26050912228796846,0.05850844664194478,0.10228964159145121,0.21939631798019663
5,4,True,RNA,0.8096955128205128,0.7997390737116764,0.616527996968722,0.8026209490138326
6,4,True,image,0.2837463017751479,0.015867158671586716,0.07482809901980175,0.19452451417325875
7,8,True,RNA,0.8078464003944773,0.8024725528185257,0.6296664018403947,0.8026158291264467
8,8,True,image,0.2753636587771203,0.0413769123783032,0.07798145608247684,0.19483549151630827
9,16,True,RNA,0.8119452662721893,0.8038884192730347,0.6342421163278383,0.8078864846958421
10,16,True,image,0.24546967455621302,0.04851358745212476,0.09580702352415178,0.20861074872414087
11,32,True,RNA,0.8090483234714004,0.7990951505725999,0.6293396473861242,0.8060339207725764
12,32,True,image,0.18562006903353057,0.042828282828282827,0.09751211146515795,0.18335476391969072
13,47,True,RNA,0.817030325443787,0.8122317596566523,0.6359340032630654,0.8120038400518569
14,47,True,image,0.2129561143984221,0.02746365105008078,0.08069361419492521,0.18169505916535886
