,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.6555652390438247,0.49626556016597506,0.37817018783544626,0.6430737055871555
1,8,False,both,0.8110682270916335,0.7942708333333334,0.6201810125367364,0.8058685850265297
2,16,False,both,0.8063682768924303,0.79248158496317,0.6123182157491789,0.8034701251582834
3,32,False,both,0.8040649900398407,0.7836490528414756,0.6184313188855904,0.8001458907640544
4,64,False,both,0.804749750996016,0.786692759295499,0.626963074527136,0.8004083228404976
5,100,False,both,0.8042828685258964,0.790360196942213,0.6206470407859135,0.8013392422196534
6,4,True,RNA,0.8024464641434262,0.7899481016115815,0.6227701568347044,0.7992385158295907
7,4,True,image,0.2052726593625498,0.022601707684580617,0.0677531362148765,0.14545440826108588
8,8,True,RNA,0.8054345119521913,0.7909870058059165,0.6240473328230971,0.8026209073635082
9,8,True,image,0.2117156374501992,0.019301848049281315,0.07295068634335106,0.17234734192975376
10,16,True,RNA,0.8050298804780877,0.7852760736196319,0.6308566768629792,0.8034755624752304
11,16,True,image,0.152359312749004,0.056371814092953526,0.09051914520519733,0.13470405275312516
12,32,True,RNA,0.8045629980079682,0.7917237599342286,0.6304581028580235,0.8048958202087533
13,32,True,image,0.1710034860557769,0.04204939783629312,0.0773830878834052,0.16353263772918986
14,64,True,RNA,0.8041894920318725,0.7904979197423165,0.6302805627334459,0.8034722937202031
15,64,True,image,0.2936690737051793,0.0006303183107469272,0.0742918505367486,0.19760805263306613
16,100,True,RNA,0.8039716135458167,0.7930476960388034,0.6206473643286333,0.8030441002603728
17,100,True,image,0.17760209163346613,0.00789970805426756,0.08966954456281377,0.16090128080129026
