,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.635262573964497,0.449233503665852,0.3951056909498239,0.6242198524180548
1,8,False,both,0.7710490631163708,0.7381989200487721,0.6025445050638338,0.7651294509828693
2,16,False,both,0.7680596646942801,0.7391156462585035,0.5891309721286231,0.7591511804446021
3,32,False,both,0.7660872781065089,0.7396593673965937,0.5984130543380901,0.7584477865175637
4,52,False,both,0.7796166173570019,0.7459697946716444,0.5969228139057631,0.7756980646071765
5,4,True,RNA,0.7700012327416174,0.7366603350025901,0.5994668132342883,0.7666854621736929
6,4,True,image,0.19323224852071005,0.030919866013913937,0.0762088632646429,0.14954357594368503
7,8,True,RNA,0.7800480769230769,0.7569135914407472,0.6058877278642317,0.7760746521864836
8,8,True,image,0.21178500986193294,0.054264825345247764,0.08985586202993323,0.19431731889448575
9,16,True,RNA,0.7704018737672583,0.7357654278895329,0.5868105296436363,0.7643493200565991
10,16,True,image,0.28097263313609466,0.0,0.07716472942988534,0.19588063684912946
11,32,True,RNA,0.7769354043392505,0.7373755023589026,0.6047160000265395,0.7703640371689684
12,32,True,image,0.14392258382642997,0.08181335222241898,0.08121516319462087,0.13531003507799502
13,52,True,RNA,0.7769045857988166,0.7440057688840814,0.6010927940861932,0.7725404613686084
14,52,True,image,0.2827909270216962,0.0012875536480686696,0.07811140962174093,0.19785348491622673
