,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.22805719921104536,0.04146011716989635,0.09441637307069822,0.20183193726129522
1,8,False,both,0.25323594674556216,0.08144624167459562,0.1084223445186781,0.22299327797293073
2,16,False,both,0.29764546351084814,0.04094631483166515,0.08577432580785312,0.20630070948760015
3,30,False,both,0.21391148915187377,0.04660303200449186,0.1094220235987769,0.21321107032644038
4,4,True,RNA,0.8042098126232742,0.7907293796864349,0.6199006094641288,0.801591987306568
5,4,True,image,0.19671474358974358,0.06655046743780701,0.0986895030857763,0.19296980315496262
6,8,True,RNA,0.8028846153846154,0.7967501692620176,0.6228136273094788,0.8024789599203689
7,8,True,image,0.23431336291913216,0.054203031694993103,0.09702039655286682,0.20409786141250283
8,16,True,RNA,0.8048570019723866,0.792712272258508,0.6193761636746346,0.8040702777698887
9,16,True,image,0.22537598619329388,0.0660673217645829,0.09752492579953526,0.203877132342903
10,30,True,RNA,0.8080004930966469,0.8023335621139328,0.6296205367054153,0.8054211737135181
11,30,True,image,0.28291420118343197,0.023268398268398265,0.0888172678194386,0.21179989150951245
