,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.25129437869822485,0.08550777900281759,0.11133059198763837,0.23002262672552126
1,8,False,both,0.2083025147928994,0.017403915881073245,0.08839366361334444,0.18049127958443445
2,16,False,both,0.1889792899408284,0.06241610738255034,0.08449337262587622,0.18548329374237704
3,32,False,both,0.27625739644970415,0.03685092127303183,0.08496266517028202,0.20305274723416508
4,50,False,both,0.23107741617357003,0.03842412451361868,0.11287456538193001,0.22412524843158377
5,4,True,RNA,0.768491124260355,0.748943661971831,0.6004268357733378,0.7681236949294539
6,4,True,image,0.1577292899408284,0.0352763312615488,0.0710828168158031,0.15835091226814335
7,8,True,RNA,0.7748705621301775,0.7548625083836351,0.6076914332016738,0.7751006385321288
8,8,True,image,0.2848249506903353,0.007088009450679268,0.08294888583236343,0.20788520024022736
9,16,True,RNA,0.7726516272189349,0.7435095137420719,0.6041322142986247,0.7715130828177971
10,16,True,image,0.22633136094674555,0.07698634643855896,0.10376719093554927,0.20991744858880584
11,32,True,RNA,0.7771819526627219,0.7440958759252732,0.602480724975132,0.7727125504428055
12,32,True,image,0.2908345660749507,0.0331286059929276,0.07726646919363646,0.19682951726281783
13,50,True,RNA,0.773853550295858,0.7484340612832233,0.6068058271843978,0.7723662274999971
14,50,True,image,0.21603796844181458,0.07979539641943734,0.1035488549507101,0.20578935566798248
