,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.7363473865877712,0.7122526900381813,0.5746840762210419,0.7361798470390847
1,8,False,both,0.7340359960552268,0.7196710075394106,0.5723660265001785,0.7353869663167619
2,16,False,both,0.7310465976331361,0.7120602135480483,0.5765836835315553,0.7331053796306123
3,32,False,both,0.745870315581854,0.717443046582795,0.5886667323598398,0.7401338127390309
4,64,False,both,0.7243589743589743,0.692588092345079,0.5678912879514261,0.7255460423469363
5,100,False,both,0.7389669625246549,0.700679087584886,0.5790154414700864,0.7359135763540963
6,4,True,RNA,0.7334196252465484,0.7201105736005529,0.5719293214513193,0.7352853660374294
7,4,True,image,0.21341839250493097,0.04338070306656694,0.08801412238971881,0.19368017315361533
8,8,True,RNA,0.7365939349112426,0.7182435964453738,0.5708812046523394,0.7373050295092601
9,8,True,image,0.17523422090729784,0.003154574132492113,0.0750156455750083,0.16263237937707295
10,16,True,RNA,0.7264546351084813,0.7021314705355544,0.5633428944701202,0.7328596045345211
11,16,True,image,0.3098187869822485,0.0016055659620016055,0.06877360257491025,0.1929600666951555
12,32,True,RNA,0.7327107988165681,0.6945518453427064,0.573881156936091,0.730543477665308
13,32,True,image,0.3333641518737673,0.003603603603603604,0.06148323365939623,0.18456963864383205
14,64,True,RNA,0.7294748520710059,0.6930795847750865,0.5706244673304711,0.7255946607201802
15,64,True,image,0.18580498027613412,0.04392121349332126,0.08376942727128961,0.17790394135057247
16,100,True,RNA,0.741771449704142,0.6984016678248784,0.5820561888729743,0.7420710888829848
17,100,True,image,0.25600961538461536,0.011791383219954649,0.07590151439692736,0.18387543130543463
