,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.8020107071713147,0.7888917459501157,0.6251335829131096,0.7986392776439586
1,8,False,both,0.7911479083665338,0.775868556377775,0.5993593967096366,0.7866809649245683
2,16,False,both,0.8049365039840638,0.7827430779137154,0.6051238835861608,0.7990687196773141
3,32,False,both,0.8145542828685259,0.7903558535327487,0.6165196341838195,0.8085446905465289
4,64,False,both,0.8096364541832669,0.7820592243835955,0.6150060738786693,0.8045340235697317
5,100,False,both,0.8032246015936255,0.7802281368821292,0.6110869481615879,0.7982792475000263
6,4,True,RNA,0.7921439243027888,0.7836922660165245,0.6218664152196492,0.7931735145296216
7,4,True,image,0.1555652390438247,0.023695487774136628,0.06700069203755997,0.11642078899619607
8,8,True,RNA,0.8091073207171314,0.7906914537916276,0.6195951550109687,0.8072680899023297
9,8,True,image,0.14865537848605578,0.03462204270051933,0.07279209662576501,0.14532649815050983
10,16,True,RNA,0.7955988545816733,0.7873629916183108,0.6107832769916404,0.7937317463215392
11,16,True,image,0.17097236055776893,0.004965859714463066,0.06658969113282423,0.09531345879532134
12,32,True,RNA,0.8028510956175299,0.7872509960159362,0.6219879747725635,0.8028103160949919
13,32,True,image,0.14152763944223107,0.0721674284339668,0.08072203047186785,0.13484555543233231
14,64,True,RNA,0.8162661852589641,0.7968891769280623,0.6195157648798872,0.8129979677062841
15,64,True,image,0.23733192231075698,0.02286939431838485,0.09539160974177148,0.21476538345302512
16,100,True,RNA,0.8078934262948207,0.7951585317721352,0.614493672022937,0.8045817266582644
17,100,True,image,0.33680901394422313,0.012162162162162161,0.0680817780448345,0.18914842020345826
