Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Concerto_128_decoder_0.0,0.6131697437660355,0.2781770092290852,0.5236780308187008,0.9982029636700948,0.9447213,0.3067732538495745,0.21506293963495493,0.7122907107688261,0,0.4357696371563657,0.603306936870979,0.5362920169851337
Concerto_128_decoder_0.1,0.6152626094671386,0.2806976415463692,0.5234612915664911,0.9981624841690063,0.94598067,0.3074747494288853,0.2155258039864308,0.721900416811652,0,0.43817632765898,0.6043960066872514,0.5379081350759428
Concerto_128_encoder_0.0,0.6135859096880978,0.28546391402399146,0.5245550274848938,0.9981722315152486,0.9475742,0.3058617115020752,0.22438218255021128,0.6991878754587786,0,0.43540119355141343,0.6054442706780578,0.5374270398274001
Concerto_128_encoder_0.1,0.621721120170173,0.3057823545661838,0.5235315132886171,0.998047125339508,0.9476925,0.30768649918692453,0.24145296660784193,0.710531008953992,0,0.44147259764292796,0.6122705283411205,0.5439513560618435
Concerto_16_decoder_0.0,0.6241907308942488,0.2878184359294792,0.5215416848659515,0.9983647346496582,0.94279045,0.30249479838779997,0.22989553258296047,0.7266397959895473,0,0.4403641151251853,0.6079788965848345,0.5409329840009748
Concerto_16_decoder_0.1,0.6173942733900221,0.2757168958746707,0.5209886450320482,0.998259977499644,0.94280815,0.302002021244594,0.2227744064451489,0.7304097099563475,0,0.4395988577782415,0.6030899479490962,0.5376935118807543
Concerto_16_encoder_0.0,0.6158413089275009,0.29046910963492234,0.5230224300175905,0.9981077353159586,0.9465867,0.30301346097673687,0.23260847529462444,0.705929968821869,0,0.43762772663784766,0.6068601459739931,0.5391671782395349
Concerto_16_encoder_0.1,0.6133460688362855,0.28826949576371097,0.5237969495356083,0.9981662670771281,0.94642305,0.3039576666695731,0.21997012549049375,0.7181564513640626,0,0.4377014594531169,0.6058946953031832,0.5386174009631567
Concerto_203_decoder_0.0,0.623367023677707,0.2862056244127006,0.5216874461621046,0.9981659452120463,0.9456402,0.3064350060054234,0.2171230979587639,0.7202984140229705,0,0.43789934486482657,0.6073565098661396,0.5395736438656145
Concerto_203_decoder_0.1,0.6219183405574343,0.2769969646403299,0.5222131740301847,0.9981937289237977,0.9462413,0.3082256317138672,0.22540061970946373,0.7143520277227329,0,0.43884391966511976,0.6048305520379367,0.5384358990888098
Concerto_203_encoder_0.0,0.6107402349016315,0.2865565989696673,0.5242561548948288,0.9979986031850179,0.9476069,0.30809361594063894,0.2257540035099269,0.7067227215300377,0,0.43763545243531743,0.6048878979877863,0.5379869197667988
Concerto_203_encoder_0.1,0.6153222659515752,0.29024916248791927,0.5228641033172607,0.9980109214782715,0.9480928,0.30850328717912945,0.2186215443626273,0.7135289941680587,0,0.43774932879400164,0.6066116133087567,0.5390666995028547
Concerto_32_decoder_0.0,0.6254276796280799,0.2890675771378357,0.5211828909814358,0.9981008172035217,0.9452961,0.3066484587533133,0.21814928352221913,0.7146681492064958,0,0.436952400040943,0.6084447412377183,0.5398478047590082
Concerto_32_decoder_0.1,0.6148802640499192,0.27477264452952654,0.522667221724987,0.9982061942418416,0.9452449,0.3060633795601981,0.2183591382348427,0.7100303969588292,0,0.43593956461733896,0.6026315811365686,0.5359547745288767
Concerto_32_encoder_0.0,0.6210866053552353,0.3035094267601751,0.5236811973154545,0.9980781237284343,0.94761413,0.3070195061819894,0.22514711114674033,0.7132543549377786,0,0.438607021124902,0.6115888382898248,0.5423961114238557
Concerto_32_encoder_0.1,0.6270186196688453,0.29368484982727205,0.5239218752831221,0.998211145401001,0.9464827,0.3056149482727051,0.22780883077035266,0.7220624687225209,0,0.4403937931512908,0.61070912254506,0.5425829907875523
Concerto_4_decoder_0.0,0.6005468440681221,0.2696376263093246,0.5079181753098965,0.9979362646738689,0.9425097,0.28121934618268696,0.2290845115308005,0.7159470430079975,0,0.4337521223020424,0.594009727590303,0.5299066854749988
Concerto_4_decoder_0.1,0.6041596779511348,0.280095582871356,0.5097503587603569,0.9980570713678996,0.9430196,0.2815831048148019,0.2288649351743686,0.7077686076338735,0,0.43224725522956486,0.5980156727376869,0.5317083057344381
Concerto_4_encoder_0.0,0.6129247737245892,0.296994431078894,0.5075845783576369,0.9976612448692321,0.94492275,0.2913625580923898,0.20844769851638045,0.7072167355699688,0,0.43038994748131054,0.6037912570075881,0.534430733197077
Concerto_4_encoder_0.1,0.42283910408351044,0.1979411157164338,0.4937493409961462,0.9931761542956035,0.9511548,0.30847021511622835,0.2206843354960007,0.6535991967199986,0.10197118874759904,0.4471759528302842,0.5269264287729235,0.4950262383958678
Concerto_64_decoder_0.0,0.6235778726253184,0.28973130162018385,0.5224909111857414,0.9982272386550903,0.9453398,0.3047628402709961,0.21731847184054467,0.7229595014953629,0,0.43807612250684225,0.6085068310215835,0.540334547615687
Concerto_64_decoder_0.1,0.6138516402468547,0.2721822025125447,0.5229214858263731,0.9981466213862101,0.94547814,0.3078232152121408,0.21954736240408948,0.7056074879102746,0,0.4356912413668671,0.6017754874929957,0.5353417890425443
Concerto_64_encoder_0.0,0.6194343731393639,0.28436956168628913,0.5248358137905598,0.9981384992599487,0.946959,0.30741422516959055,0.23855221546931032,0.7161607872287675,0,0.4418172493149887,0.6066945619690404,0.5407436369074197
Concerto_64_encoder_0.1,0.6125408420546318,0.3064240829382886,0.5248279478400946,0.9982309341430664,0.9468557,0.30616508211408344,0.22335496003303376,0.7142807955546514,0,0.43813131231192964,0.6105059517440203,0.541556095971184
