Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated_HVG_only,0.57682955,0.7450269448876045,0.49574300589080006,0.572783961892128,0.999999986245082,0.9184092,0.12110722064971924,0.1615038075396292,0.830349159159682,0,0.4062738831347841,0.6780766903132133,0.5693555674418416
train_128_encoder_0.1_False,0.5536975,0.7393017259157901,0.677904040365557,0.5852227807044983,0.9982531437507043,0.9261018,0.47490841150283813,0.4686711165364959,0.8259642260305413,0.7965763330732245,0.6984443781845404,0.710875843438295,0.7059032573367932
train_128_encoder_0.1_True,0.5358252,0.6758523528457149,0.6088102103109169,0.5452242754399776,0.9978354710798997,0.9301406,0.4576922059059143,0.46017641040802765,0.7782004703642444,0.7719877342711471,0.6796394870917832,0.6727095005209647,0.675481495149292
train_16_encoder_0.1_False,0.55954355,0.7614352366933173,0.7648872854159622,0.5702779516577721,0.9984784859877366,0.9255648,0.47865939140319824,0.5034486473120571,0.8231521516325744,0.8004872443523731,0.7062624520470047,0.7309245019538568,0.7210596819911159
train_16_encoder_0.1_True,0.55086684,0.7572580323987547,0.643364818322537,0.5763837769627571,0.9989585876464844,0.9276008,0.4534796476364136,0.42065657334189166,0.836928765605195,0.7014789803475774,0.6680289535844273,0.7053664115200861,0.6904314283458226
train_200_encoder_0.1_False,0.5556644,0.7524676971976527,0.7505193511108094,0.576651856303215,0.998724625660823,0.9268655,0.48112380504608154,0.47647362393798925,0.8317898539502003,0.7795414219207016,0.6991588445896164,0.7268055900800737,0.7157468918838907
train_200_encoder_0.1_True,0.5412905,0.7332499804755672,0.740607192942079,0.5492327660322189,0.9981044989365798,0.92781585,0.4707005023956299,0.4655108284777143,0.8217698788715192,0.7173082815459786,0.68062106916805,0.7124969920016297,0.6997466228681979
train_32_encoder_0.1_False,0.55942357,0.7624150053575254,0.7684721838542595,0.5778988599777222,0.9985530101335965,0.92726785,0.479367733001709,0.46370625419892403,0.8301588309897693,0.7640412593141876,0.6929083853899866,0.7333525250375332,0.7171748691785146
train_32_encoder_0.1_True,0.54609734,0.7217876005418878,0.7212647112767808,0.5430523306131363,0.9987353820067185,0.9176377,0.43576061725616455,0.4090669376413008,0.8345165605255523,0.6210371012393279,0.6436037844930527,0.7061874725276278,0.6811539973137978
train_4_encoder_0.1_False,0.5670112,0.7674271284086226,0.7732336257537303,0.5948166698217392,0.9991951814064612,0.9221534,0.4669485092163086,0.4653090112216336,0.8405858081023069,0.747638615860437,0.6885270715392864,0.7403367565860758,0.71961288256736
