Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated_HVG_only,0.7492746082884754,0.46771523360131884,0.4065795736925813,0.46074950365693557,1.0,0.966133302620479,0.0,0.0,0.8087766813118873,0.0,0.35498199678647324,0.6168637838478622,0.5121110690233066
train_128_encoder_0.1_False,0.4883721825170202,0.575433482418811,0.6626376178364664,0.42858654643091754,0.6580021989605598,0.9736895480827741,0.8085062266807341,1.0,0.7335394111355353,0.9624816683503188,0.8956433708498726,0.562606405632755,0.695821191719602
train_128_encoder_0.1_True,0.17336592529196526,0.45612139129724083,0.7542463179550911,0.1480322369119289,0.6737092836486909,0.9834867447194444,0.6931166853965406,0.8079783120354489,0.47754911501068475,0.8417538853502635,0.7607769485024765,0.44109503102098346,0.5689677980135807
train_16_encoder_0.1_False,0.5835050927500847,0.6411485354400028,0.659721656214274,0.4925518231253321,0.7806012890350189,0.9830498339841132,0.7649182014280527,0.9581613689586967,0.7498942793376684,0.9855294847743881,0.8883106336965838,0.6315056793129425,0.7342276610663991
train_16_encoder_0.1_True,0.2502674521164501,0.4612220625502559,0.779373077564165,0.1801909407690454,0.6347082310878704,0.9754728641401273,0.6646089007568702,0.7606915950896034,0.7121530346465748,0.9949078346615238,0.8215668458589398,0.46115235281755734,0.6053181500341103
train_200_encoder_0.1_False,0.39470083075630047,0.40424911407717,0.4859666762663017,0.3844404112489537,0.5542162644883319,0.9968026695721575,0.7959959309778368,0.9245904100046749,0.6209799774730542,0.9345611785641074,0.8545860333183661,0.4447146593674116,0.6086632089477935
train_200_encoder_0.1_True,0.07960221596585182,0.4179326386413291,0.728348311423564,0.12011845512579367,0.6598007798020262,0.9331907088180209,0.6855017028720285,0.8349432717965959,0.4706739687839674,0.9002649373803729,0.7649149179301971,0.401160480191713,0.5466622552871067
train_32_encoder_0.1_False,0.47942119513768144,0.5044800461291876,0.6369851125728565,0.48247780874042334,0.6565007749537131,0.9889603596937278,0.7436499999427221,0.9379561444919251,0.853620701772535,0.9576179428437933,0.8963610297489406,0.5519729875067724,0.6897282044036397
train_32_encoder_0.1_True,0.0,0.25225937127885345,0.56809381695586,0.0,0.0,0.9477456799007138,0.6530334949715729,0.6732663570422592,0.5061540267578697,0.7452001088188609,0.7050799334982554,0.16407063764694269,0.38047435598746776
train_4_encoder_0.1_False,0.6233119730808481,0.5538892480977662,0.8154800556823161,0.5789000642745448,0.7046917936229988,0.9749289340567167,0.7032775561122967,0.845151665682855,0.8887315826589814,0.9121176388592648,0.864841475474023,0.6552546269516948,0.739089366360626
train_4_encoder_0.1_True,1.0,1.0,1.0,0.6316720315901305,0.972262755457109,0.8695036646482484,0.30147902998727283,0.4146058361172618,0.945667327290173,0.9740988417863347,0.7010709399658581,0.9207869574094479,0.8329005504320119
train_64_encoder_0.1_False,0.48984297674590405,0.5832805941742985,0.6599662618044888,0.4888125727008772,0.7252847622666536,0.9959815084156283,0.787244898543652,0.9528713053975095,0.7525882688131111,0.9999999999999999,0.8977371962339802,0.5894374335384445,0.7127573386166588
train_64_encoder_0.1_True,0.10943447923417082,0.36876347253476105,0.4712284476052733,0.13259316676966026,0.5904349906864468,1.0,0.6659905583106226,0.7212414046578144,0.4474443411948448,0.8965773158600039,0.7462507240046572,0.33449091136606246,0.4991948364215003
train_8_encoder_0.1_False,0.6716419174046289,0.7014554551939525,0.8052743584137485,0.6827262968418824,0.843474983304418,0.9679200161174535,0.7085741582725901,0.8612110585216561,1.0,0.9407208069068389,0.8956852079637077,0.7409146022317261,0.8028228445245187
train_8_encoder_0.1_True,0.12051430849581823,0.4898026668924551,0.8008374312370323,0.18865107123529512,0.4285908666500404,0.9285504857829041,0.5811907388505699,0.6371528001063897,0.617915525714968,0.7451618378701386,0.7019942776649941,0.40567926890212824,0.5242052724072745
train_umap_128_encoder_0.1,0.3348785267121164,0.0,0.0031156856094902152,0.8826048616620596,0.23697944769492096,0.1074467459832924,1.0,0.5865446788901898,0.014999085883287133,0.9571922189663166,0.5332365459446172,0.29151570433571744,0.3882040409792774
train_umap_16_encoder_0.1,0.4600353421616896,0.10788024385903716,0.025943114214673324,0.8929506124038742,0.4503615147491473,0.0,0.9772139341097925,0.5439291638777315,0.23170604817142504,0.9439438406708174,0.5393585973659534,0.38743416547768433,0.448203938232992
train_umap_200_encoder_0.1,0.2842611933521022,0.019104471337963336,0.01666903683380727,0.8407673472883124,0.024604585911902177,0.07057127607492486,0.9935909464256871,0.5488761530403534,0.0,0.9507430520305405,0.5127562855143012,0.23708132694481748,0.34735131037261097
train_umap_32_encoder_0.1,0.5098568611665684,0.04200796617384395,0.039694794870649475,0.9342490272459205,0.2538172923381694,0.21074080151716057,0.9421160977252654,0.6175892964712963,0.16873525035347825,0.9233732326839723,0.5725109357502346,0.3559251883590303,0.44255948731551203
train_umap_4_encoder_0.1,0.36658949678980424,0.021618985376559596,0.016066842361267708,0.8097465693790404,0.39675129380520957,0.07492577443786796,0.9156944888348186,0.5257184110806361,0.2611795598678439,0.8781269453837446,0.5311290359209823,0.32215463754237633,0.4057443968938187
train_umap_64_encoder_0.1,0.5613977701805126,0.0848605489998806,0.024825148758840787,0.9165938320924072,0.37272850969588944,0.11380913116257396,0.9952263450856134,0.6279810255315752,0.08528694761382694,0.9850411259075941,0.5614689150602368,0.39208116194550613,0.45983626319139836
