Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated_HVG_only,0.59685904,0.7311464106126776,0.5344829946914013,0.5479785464704037,0.9987991966984489,0.8794909,0.04831595718860626,0.038663010021806374,0.5916057563954795,0,0.3116151271132988,0.6818532372698121,0.5337579932072067
train_100_encoder_0.0_False,0.49387014,0.7482431537382322,0.5396331885809629,0.5377698615193367,0.9957706982439215,0.85292614,0.24841880798339844,0.21425911921496174,0.6852076849157658,0.5277341262075087,0.5057091746769612,0.6630574082408925,0.6001181148153201
train_100_encoder_0.0_True,0.57124275,0.7634541645909804,0.5824993540667496,0.5689394921064377,0.9977721680294384,0.8495442,0.339289128780365,0.39781032897516216,0.7059496124293551,0.6022429038748431,0.5789672402365971,0.6967815856969231,0.6496558475127927
train_16_encoder_0.0_False,0.49583888,0.7472471485849224,0.5364454221881292,0.5438987240195274,0.99598689512773,0.85524666,0.23747175931930542,0.20540053164200384,0.6872920258639872,0.5123534122688201,0.49955287843753665,0.6638834140918498,0.5981511998301245
train_16_encoder_0.0_True,0.5643455,0.7851364095978354,0.760302566745361,0.5780347511172295,0.9978994835506786,0.8510995,0.3328358829021454,0.38659446589951535,0.6912161386837793,0.583784137280451,0.5691060231770552,0.737143738004528,0.6699286520735389
train_32_encoder_0.0_False,0.49239314,0.7523425512040129,0.6160103950111587,0.5408727675676346,0.9958573254671964,0.8540101,0.2405603528022766,0.2152208135585697,0.6934264342847726,0.5090203707804793,0.502447615311831,0.6794952350548955,0.6086761871576697
train_32_encoder_0.0_True,0.5643544,0.7906672507146252,0.8043135760551772,0.5735724940896034,0.9979782781817697,0.84559613,0.33889371156692505,0.41348070040321666,0.7005642453285357,0.5946038075471115,0.5786277199016834,0.7461772037498855,0.6791574102106046
train_4_encoder_0.0_False,0.5127941,0.7423841931247217,0.4649519746906625,0.5486291013658047,0.996000506661155,0.86282486,0.2192838191986084,0.176577707620484,0.69777432694092,0.46331170461509935,0.4839544831220133,0.6529519706477475,0.5853529756374538
train_4_encoder_0.0_True,0.57808846,0.7874848711339725,0.8075737949382723,0.5795427411794662,0.9976828477599404,0.85623884,0.32408958673477173,0.36843764946140933,0.6968899414210254,0.5763074065538085,0.5643926852363025,0.7500745434728808,0.6758018001782495
train_64_encoder_0.0_False,0.4947156,0.7538978444214828,0.6167816211297421,0.5405816584825516,0.9959822730584578,0.85324115,0.2387983500957489,0.22659393942051015,0.6918794114909163,0.5163423002707291,0.5053710293777427,0.680391799659612,0.6103834915468643
train_64_encoder_0.0_True,0.56243104,0.760964736076908,0.6133234545993388,0.58392084389925,0.9977965300733392,0.85439825,0.33836230635643005,0.3973606077353451,0.6942124007766426,0.5887786297791764,0.5746224390454857,0.7036873204149662,0.6520613678671741
train_8_encoder_0.0_False,0.49538127,0.7464673058610428,0.5308410162752608,0.5442849807441235,0.9960162206129595,0.8556191,0.2376728057861328,0.2039064802130421,0.6851735824279274,0.5068086256504281,0.4978361133983308,0.6625981578744128,0.59669334008398
train_8_encoder_0.0_True,0.56612855,0.7630698404032056,0.5739160916284508,0.5823329165577888,0.9978246715935793,0.85231954,0.3371100425720215,0.39663938899575235,0.6928277538240066,0.5916837750063948,0.5741160997982935,0.6966544144286032,0.6476390885764793
train_umap_100_encoder_0.0_False,0.23440635,0.6778820295620628,0.2761649163067018,0.5689441338181496,0.9935865510593761,0.6785243,0.3409543037414551,0.20359363643249054,0.5153174375928942,0.48164804652695875,0.44400754793020136,0.5501967965578884,0.5077210971068136
train_umap_100_encoder_0.0_True,0.5705164,0.696773044855973,0.26157490839292874,0.5782362669706345,0.9963610632853075,0.7068467,0.4176395535469055,0.4556867526066713,0.5680055331584408,0.3414712485472128,0.4979299603758012,0.6206923381989241,0.5715873870696749
train_umap_16_encoder_0.0_False,0.21386419,0.6821434749678371,0.29461294617964456,0.5662220865488052,0.993479999628934,0.6746872,0.3313300311565399,0.21490411854132357,0.5282600943910126,0.4473716032247155,0.4393106108117479,0.5500645399383642,0.5057629682877177
train_umap_16_encoder_0.0_True,0.47844198,0.7074451635851492,0.2886496250479082,0.5826366096735001,0.9963975115255876,0.707914,0.40784525871276855,0.42770690701842656,0.570273609892867,0.38267316279285357,0.4992825866412078,0.6107141786587051,0.5661415418517062
train_umap_32_encoder_0.0_False,0.19762526,0.6767328590031181,0.2745214405937069,0.5718826875090599,0.9935035299171101,0.6822234,0.33559733629226685,0.22217262279392616,0.5268821958650436,0.4645358441444736,0.4462822757415358,0.5428531563096817,0.5042248040824233
train_umap_32_encoder_0.0_True,0.4935135,0.7050292097164366,0.27915934948363297,0.5874113813042641,0.996660135009072,0.70003146,0.4174671769142151,0.4617780075795056,0.5615673698374042,0.3978437376073174,0.507737550253991,0.6123547140486802,0.5705078485308046
train_umap_4_encoder_0.0_False,0.29828995,0.6852898510257235,0.2820190877229807,0.569744661450386,0.9933764826167714,0.6847074,0.31349050998687744,0.16630243695271302,0.527675720837862,0.5039960768307694,0.43923442955824105,0.5657440074956369,0.5151401763206785
train_umap_4_encoder_0.0_True,0.50665396,0.7021387518414451,0.27988719735204254,0.5911534950137138,0.9963367093693126,0.7067212,0.40038084983825684,0.41105641234210255,0.5606287004845084,0.29125776178925017,0.4740089822183993,0.6152340236192029,0.5587440070588814
