Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated_HVG_only,0.8598534900194563,0.8524308636591869,0.6059624379526101,0.17364930702574277,0.837811236289312,1.0,0.0,0.0,0.6419896619441103,0.0,0.3283979323888221,0.6659414669892616,0.5309240531490858
train_100_encoder_0.0_False,0.5803970778724448,0.5121971178587357,0.8063976023046504,0.0,0.4383813838657602,0.8666484311402343,0.5441969403425506,0.5881673655000496,0.8083387224838905,0.694006498548674,0.7002715916030798,0.4674746363803182,0.5605934184694228
train_100_encoder_0.0_True,0.9712860488079453,1.0,1.0,0.5470202429591922,0.9628688434054737,0.740447253991666,0.7149330802435727,0.7513722196311864,0.9578585804756163,0.972305189771053,0.8273832648226189,0.8962350270345223,0.868694322149761
train_16_encoder_0.0_False,0.601393102276526,0.5737018430153524,0.534593569159896,0.029604626678453982,0.49135427188714687,0.8645470637779984,0.5272270912527872,0.5841518839881024,0.7801367907869419,0.688713824008111,0.6889553307627881,0.44612948260347507,0.5432598218672002
train_16_encoder_0.0_True,0.9979730894588825,0.9443452377271386,0.9579342609048358,0.6333086300498811,0.9684434281581389,0.7425362796302117,0.7223492187089617,0.7825204785924256,0.9722020001819702,0.9673752925786004,0.8373966539384339,0.9004009292597754,0.8751992191312388
train_32_encoder_0.0_False,0.589978195685074,0.4983293516089464,0.742897408739241,0.01359352360321786,0.46962523852202764,0.8728157667786993,0.5384648660879924,0.6085106717859318,0.7720787580733242,0.6799850085866385,0.6943710142625172,0.4628847436317014,0.5554792518840277
train_32_encoder_0.0_True,0.95353946079753,0.92299109091259,0.884156819341976,0.6089518544091392,0.9705841376613193,0.7427868921827021,0.7170987946148546,0.7333255991025549,1.0,0.9849985593511728,0.835641969050257,0.8680446726245108,0.8550835911948093
train_4_encoder_0.0_False,0.6526070407203746,0.6988144913371128,0.5897388398546388,0.06550104562893377,0.5455521693451857,0.8872460123638883,0.4965883034405518,0.5613266366462496,0.7835604419864661,0.656911849313394,0.67712664875011,0.5104427173772491,0.5771162899263935
train_4_encoder_0.0_True,0.9784024772531317,0.8389204280438367,0.4991715275933019,1.0,1.0,0.7172040102038348,0.7227678341168704,0.7920921707909492,0.9475677891971976,0.9999999999999999,0.8359263608617704,0.863298886578054,0.8523498762915405
train_64_encoder_0.0_False,0.5737039983690977,0.5597546995640332,0.518085019059825,0.013702529116534024,0.4887442861458453,0.8574591363009891,0.5355759158757017,0.5954975890138181,0.8127519597376591,0.6988301188759659,0.7000229439608268,0.43079810645106703,0.5384880414549709
train_64_encoder_0.0_True,0.9979270874211226,0.8717766847480339,0.6337922682894115,0.5164863889541085,0.9519728545446213,0.7470682109437341,0.7046111632835401,0.7145486709870117,0.9596290157271237,0.9555685332585621,0.8162851188399942,0.7943910567914596,0.8031486816108735
train_8_encoder_0.0_False,0.6061864278148283,0.6157679986304325,0.5047287946544041,0.053429752250720774,0.5141758108045025,0.8715012472697086,0.515570320709507,0.5501818957442582,0.8023417936451858,0.6572186100261113,0.6793627734789542,0.4588577568309777,0.5470597634901683
train_8_encoder_0.0_True,0.9895113183999582,0.9812660296901141,0.9741535609881857,0.6217932598257603,0.9591412946451499,0.7424629849038054,0.7199688248938785,0.7817951533769814,0.9395489260043646,0.9603966720547861,0.8288345122467632,0.9051730927098337,0.8746376605246056
train_umap_100_encoder_0.0_False,0.10189961292106098,0.0,0.0,0.07551126117294071,0.0,0.006141644703435922,1.0,0.5072302669203476,0.006078135392659556,0.7845895450675496,0.4608079184167986,0.03548217481880034,0.20561247225799964
train_umap_100_encoder_0.0_True,1.0,0.4574907859796502,0.08421677638415426,0.6456420380059935,0.8529944574888049,0.09890758114305509,0.993023773751825,0.9432276550293753,0.48708609504586775,0.20000687054865046,0.5444503951037547,0.6080688115717205,0.5826214449845342
train_umap_16_encoder_0.0_False,0.11052803287149393,0.13916238812836967,0.022727418038817837,0.20779935440541664,0.2499129503603541,0.016368148076504774,0.9721755284924449,0.6458201361032984,0.007955730633192104,0.6426601031263164,0.4569959292863513,0.14602602876089044,0.27041398897107477
train_umap_16_encoder_0.0_True,0.9369440086848377,0.47952978389137524,0.0968500273980466,0.6178598286389647,0.8605974942934154,0.06760015434710764,0.9923835384220823,0.995708777795603,0.4482337972303343,0.10340807066637825,0.5214668676923011,0.598356228581328,0.5676004842257172
train_umap_32_encoder_0.0_False,0.05030800208701702,0.0850411975568286,0.022756113776434272,0.17871071693958562,0.23275239434119044,0.016907153968292565,0.9873810700363161,0.6246379928343844,0.0,0.6034468490333107,0.4464746131744608,0.11391368494021119,0.24693805623391105
train_umap_32_encoder_0.0_True,0.9369574621109749,0.4776705946889406,0.08856007248934245,0.6723437227765432,0.8674957146720317,0.09690771816137556,0.9834674010262876,0.9848108936796348,0.5221810403220335,0.12995413754033738,0.5434642381459338,0.6086055133475666,0.5825490032669135
train_umap_4_encoder_0.0_False,0.10901994719964225,0.22760192016157443,0.07674159752998266,0.3737745442343483,0.3309632310741506,0.052302210024905094,0.9614936574251349,0.6541405277865191,0.05353525982706442,0.6643974049133089,0.47717381199538644,0.22362024803993963,0.32504167362211833
train_umap_4_encoder_0.0_True,0.8300621797826904,0.46090776909630105,0.056431408166700114,0.744125143888767,0.8789237236678673,0.08623288278485708,0.9880131289124865,0.8980764702220586,0.43619491397301724,0.15614949694895028,0.5129333785682739,0.5940900449204651,0.5616273783795886
