,Accuracy,F1 median,F1 macro,F1 weigted,other T,CD4 T,B,CD8 T,HSC,Erythrocytes,NK,other,Monocytes,MK/E prog,Lymph prog,G/M prog,DC,concat,epoch,pearsons
0,0.78070068359375,0.6751615218951902,0.6203439183837438,0.7547693515963442,0.14429223744292238,0.784632203654537,0.9617823479005999,0.6751615218951902,0.6480582524271845,0.9838321293429653,0.7883817427385892,0.09090909090909091,0.9068673565380997,0.2589928057553957,0.7110266159695817,0.5700934579439252,0.5404411764705882,QR cite GEX,4,0.7456068666491533
1,0.7799072265625,0.673100983020554,0.6249477872773096,0.7534796733199229,0.12653446647780925,0.7833957553058676,0.9625815310676279,0.673100983020554,0.6158038147138964,0.9782312925170067,0.783009708737864,0.08024691358024692,0.904881101376721,0.35795454545454547,0.7333333333333334,0.5623960066555741,0.5628517823639776,QR merged cite GEX,4,0.0
2,0.6880974264705882,0.5850985351459586,0.5364029069921439,0.6835847821438469,,0.6031273268801192,0.8826747720364742,0.5850985351459586,0.28985507246376807,0.8970345963756179,0.5898389095415117,,0.8152542372881356,0.255192878338279,0.41003584229390677,0.2678843226788432,0.30443548387096775,QR multiome GEX,4,0.07638551657988617
3,0.6785845588235294,0.5903413821815154,0.5255050829341305,0.6800111149442711,,0.5976792847631729,0.8721087024167619,0.5903413821815154,0.23066485753052915,0.904253090299602,0.59068255687974,,0.7965260545905707,0.23875968992248062,0.4286708420320111,0.23738062755798087,0.293488824101069,QR merged multiome GEX,4,0.0
4,0.13970588235294118,0.10095497953615279,0.09038493099583057,0.1384247612546895,,0.14684710624820038,0.13372177713037145,0.1790116070360177,0.0075187969924812035,0.17667266481269425,0.10095497953615279,,0.14755677907777012,0.0,0.05714285714285715,0.024013722126929676,0.020793950850661626,QR multiome ATAC,4,
5,0.6369485294117647,0.5664101045983817,0.47400934998508215,0.6492312756149151,,0.5664101045983817,0.8331358397069912,0.5772936740678676,0.1222444889779559,0.8972253052164262,0.584173952028693,,0.7441591040741455,0.1986970684039088,0.34818941504178275,0.12224938875305623,0.22032450896669514,MP ADT through GEX,4,0.31865862988812493
6,0.7584219858156028,0.2930212397052449,0.42466329026283406,0.7383690020441795,0.0,0.7624825418994413,0.7578267754903155,0.5182998161662303,0.03249830737982397,0.9806518365235386,0.6966562907922482,0.0,0.9459245342809933,0.04457652303120357,0.2930212397052449,0.19730458221024258,0.29138032593756136,MP ATAC through GEX,4,0.4133971932046156
7,0.6783088235294118,0.5897302364337048,0.525146747690544,0.6796891317061122,,0.597871531736982,0.8714596949891067,0.5897302364337048,0.23369565217391305,0.904253090299602,0.5920624593363695,,0.7949618005368574,0.23529411764705882,0.4305555555555556,0.23433242506811988,0.29239766081871343,MP merged ADT through GEX,4,0.39813493558672985
8,0.9077321586879432,0.8373737373737373,0.7938214070199165,0.900813332284162,0.42123094297007346,0.8664751743947476,0.9592974417716685,0.7401476875242906,0.8364591147786946,0.994103835116097,0.9185501767074874,0.3627450980392156,0.9786878395319681,0.7433035714285715,0.8373737373737373,0.7825464949928469,0.878757176629517,MP merged ATAC through GEX,4,0.803550344590026
9,0.79498291015625,0.6141479099678456,0.5691565397569233,0.7608525624445052,0.2547559966914805,0.8508659397049391,0.9055745164960183,0.805799055967633,0.472027972027972,0.9483505498167276,0.8516570226196738,0.173374613003096,0.8562052505966586,0.04608294930875576,0.280970625798212,0.3392226148409894,0.6141479099678456,QR cite GEX + ADT,4,0.0
10,0.7950439453125,0.6141479099678456,0.5691892584058129,0.7609153750004237,0.2547559966914805,0.8508659397049391,0.9055745164960183,0.8060003370975898,0.472027972027972,0.9483505498167276,0.8518810839252827,0.173374613003096,0.8562052505966586,0.04608294930875576,0.280970625798212,0.3392226148409894,0.6141479099678456,"QR merged train, cite GEX + ADT",4,0.0
11,0.6848805147058824,0.57838239982995,0.5360399605669367,0.68043271185764,,0.6032329169728141,0.8765331152902699,0.57838239982995,0.2787878787878788,0.8977483990910969,0.5806190572526805,,0.814500741997032,0.251497005988024,0.4257294429708223,0.2567353407290016,0.33267326732673264,QR multiome GEX + ATAC,4,0.0
12,0.6848805147058824,0.57838239982995,0.5360399605669367,0.68043271185764,,0.6032329169728141,0.8765331152902699,0.57838239982995,0.2787878787878788,0.8977483990910969,0.5806190572526805,,0.814500741997032,0.251497005988024,0.4257294429708223,0.2567353407290016,0.33267326732673264,"QR merged train, multiome GEX + ATAC",4,0.0
13,0.79266357421875,0.71010919337795,0.6450894862549826,0.7688817713666497,0.12384473197781885,0.790292470441817,0.9608283002588438,0.71010919337795,0.6169045005488475,0.9802972692706532,0.8121699773698768,0.10089020771513353,0.9247518411783542,0.39622641509433965,0.7122774133083413,0.5935085007727975,0.6640625,QR cite GEX,8,0.7480904489842666
14,0.79180908203125,0.7103786816269284,0.6387872933210001,0.7665298572542525,0.11089866156787763,0.7889908256880734,0.9608688157214273,0.7103786816269284,0.5957943925233645,0.9771720613287905,0.8096192384769539,0.10397553516819572,0.9271268057784912,0.35757575757575755,0.7105263157894738,0.5682888540031398,0.6830188679245283,QR merged cite GEX,8,0.0
15,0.7118106617647059,0.6199657240788347,0.5622536636537515,0.7115179027455751,,0.640092879256966,0.8842821782178218,0.6423874557410217,0.265625,0.8927548096602538,0.6199657240788347,,0.8421052631578948,0.29798657718120813,0.4601889338731444,0.2692307692307692,0.3701707097933513,QR multiome GEX,8,0.0764204992999201
16,0.6983455882352941,0.631044380657982,0.548948172430996,0.7023925302999119,,0.6341745328453091,0.8725706481773295,0.6329320546827177,0.22955145118733508,0.9008368200836819,0.631044380657982,,0.8172179813401188,0.29756795422031473,0.42487770789657586,0.2657342657342657,0.331922099915326,QR merged multiome GEX,8,0.0
17,0.14526654411764706,0.0890156918687589,0.09522343588973813,0.14256964872522862,,0.15699756481879387,0.13508496358703412,0.18425177860846498,0.011764705882352943,0.1899832546810778,0.0890156918687589,,0.15716440422322775,0.014732965009208105,0.03901825047199497,0.016638935108153077,0.052805280528052806,QR multiome ATAC,8,
18,0.6528952205882353,0.6031019048610389,0.501977972049709,0.667834000712314,,0.6111762407190309,0.8333878173695107,0.6031019048610389,0.1624790619765494,0.8868391451068617,0.6149672168211622,,0.7662698412698412,0.24242424242424243,0.35294117647058826,0.1755829903978052,0.2725880551301684,MP ADT through GEX,8,0.3196193602902732
19,0.7695451019503546,0.4110929853181077,0.46093953681485783,0.7552866063116707,0.0,0.7816813588475597,0.7911962450843588,0.531046994791362,0.07407407407407408,0.9780395804268073,0.7177901874750698,0.0,0.94355541290293,0.14147018030513178,0.32526423457211046,0.2970027247956403,0.4110929853181077,MP ATAC through GEX,8,0.41227623202148406
20,0.6987591911764706,0.6322523714979043,0.5496763860777577,0.7027412327789117,,0.6339869281045751,0.8734256926952141,0.6324821246169561,0.22963951935914553,0.9005652082897215,0.6322523714979043,,0.8173138128580523,0.2984218077474892,0.4283727399165507,0.2677824267782427,0.33219761499148215,MP merged ADT through GEX,8,0.3999496835505107
21,0.9125387854609929,0.8575653031049778,0.8035927766589462,0.906619050258107,0.4468546637744034,0.8750673351841877,0.965033887861984,0.750324799388613,0.8463855421686746,0.9936392075078206,0.9203451709259873,0.3912337662337662,0.9805748090592028,0.7306434023991276,0.8575653031049778,0.7874015748031497,0.9016366341544056,MP merged ATAC through GEX,8,0.8034178541015823
22,0.79254150390625,0.6144000000000001,0.5797841882638647,0.7616447244211672,0.21778886118038238,0.8413530252501191,0.9147286821705426,0.7859217495301555,0.47974068071312803,0.9493118496139644,0.84958071278826,0.10334346504559269,0.8795843520782397,0.1222707423580786,0.3627569528415961,0.4164133738601824,0.6144000000000001,QR cite GEX + ADT,8,0.0
23,0.79266357421875,0.6153846153846153,0.5800374060916643,0.7617972770700686,0.21778886118038238,0.8413530252501191,0.9150585518720106,0.7859217495301555,0.47974068071312803,0.9493118496139644,0.84958071278826,0.10334346504559269,0.8795843520782397,0.1222707423580786,0.36473429951690817,0.4164133738601824,0.6153846153846153,"QR merged train, cite GEX + ADT",8,0.0
24,0.70703125,0.6233712512926577,0.5573355473847919,0.7071793874169249,,0.6444704049844238,0.8755866096568986,0.6320967411354785,0.28142589118198874,0.893911626959886,0.6233712512926577,,0.8529020824102792,0.21709633649932156,0.4431889516635279,0.2796610169491525,0.3869801084990958,QR multiome GEX + ATAC,8,0.0
25,0.70703125,0.6233712512926577,0.5573355473847919,0.7071793874169249,,0.6444704049844238,0.8755866096568986,0.6320967411354785,0.28142589118198874,0.893911626959886,0.6233712512926577,,0.8529020824102792,0.21709633649932156,0.4431889516635279,0.2796610169491525,0.3869801084990958,"QR merged train, multiome GEX + ATAC",8,0.0
26,0.79815673828125,0.7117585848074921,0.651479523579961,0.7744497549031187,0.13245033112582782,0.7938384938540531,0.965564976639557,0.7117585848074921,0.613953488372093,0.9827586206896551,0.8261424559611947,0.12173913043478261,0.9269230769230768,0.3910256410256411,0.7451701931922723,0.5991316931982634,0.6587771203155819,QR cite GEX,16,0.7488737186046112
