,Accuracy,F1 median,F1 macro,F1 weigted,other T,CD4 T,B,CD8 T,HSC,Erythrocytes,NK,other,Monocytes,MK/E prog,Lymph prog,G/M prog,DC,concat,epoch,pearsons
0,0.6851986434108527,0.5579617834394904,0.5629675830406268,0.6605181880637567,0.09904761904761904,0.6828129559381383,0.8943637008153137,0.5022304832713754,0.5579617834394904,0.9327385037748799,0.6498644986449865,0.10919540229885057,0.8311763014092608,0.3839541547277937,0.7024567788898998,0.4345047923322684,0.5382716049382716,QR cite GEX,4,0.7178746485100596
1,0.6785368217054264,0.554002541296061,0.5533968541457831,0.6495352939544277,0.06288032454361055,0.6844999256947539,0.8967614957953123,0.4845186714205292,0.5056179775280899,0.8923766816143497,0.6304977613905715,0.09248554913294799,0.822260079500284,0.40694789081885857,0.7317073170731707,0.4296028880866426,0.554002541296061,QR merged cite GEX,4,0.0
2,0.47161155523255816,0.35992936265853265,0.3701047139753459,0.46827195889224277,,0.35992936265853265,0.6399906125322693,0.3586381412468369,0.16096579476861167,0.7063050116759475,0.36950146627565983,,0.5321304210193099,0.1739130434782609,0.386977886977887,0.1594896331738437,0.22331047992164543,QR multiome GEX,4,0.07173610654903752
3,0.45721293604651164,0.34707692307692306,0.3568864847536027,0.4567425400529809,,0.34707692307692306,0.6296338804085848,0.3425169273873453,0.1675579322638146,0.7189695550351289,0.36094674556213024,,0.5105189340813464,0.1475128644939966,0.36946148602590323,0.1473684210526316,0.1841876629018245,QR merged multiome GEX,4,0.0
4,0.14112463662790697,0.0907862739800054,0.09007345897917729,0.14094978007387224,,0.15002836074872378,0.14038515210717278,0.1942055228610231,0.014545454545454545,0.15163934426229508,0.0907862739800054,,0.15032858707557503,0.007575757575757576,0.04637247569184742,0.017543859649122806,0.027397260273972605,QR multiome ATAC,4,
5,0.33021438953488375,0.27706283118849356,0.24854642815503658,0.3419431117496738,,0.27561117578579747,0.5358202628232301,0.29294369208838206,0.14147909967845657,0.3217315004387248,0.29234338747099764,,0.33752357008170963,0.0825147347740668,0.27706283118849356,0.07072135785007072,0.10625909752547306,MP ADT through GEX,4,0.25920642749743655
6,0.3571918936731107,0.13664596273291926,0.2231082195046365,0.3690836699671488,0.0,0.3223044462112409,0.41944444444444445,0.28747898545427963,0.10434782608695653,0.48356863210345236,0.3642605633802817,0.0,0.47769253564255376,0.12875536480686695,0.13570708767215317,0.04020100502512563,0.13664596273291926,MP ATAC through GEX,4,0.3292212719512329
7,0.45721293604651164,0.34749271584112873,0.35778653749810757,0.4567493523392715,,0.34749271584112873,0.6294381247845571,0.3420438637424172,0.1711229946524064,0.7180788754392816,0.3605023393252893,,0.5125958378970427,0.15120274914089346,0.36684782608695654,0.1513353115727003,0.18499127399650958,MP merged ADT through GEX,4,0.35349514849045366
8,0.8764004833040422,0.8189280540801545,0.7539256795267334,0.8690001834772099,0.3654761904761905,0.8345193533791287,0.9194298109699411,0.6904235024799695,0.7856579984239559,0.9773953772528257,0.8243962341383544,0.434715821812596,0.971181054372905,0.6967615309126595,0.8189280540801545,0.6499176276771005,0.8322312778717516,MP merged ATAC through GEX,4,0.7919053024600817
9,0.6763565891472868,0.6299694189602446,0.5700115904905915,0.6548742167367236,0.07492795389048992,0.7326764144945963,0.8177676537585422,0.5270570793180134,0.6081229418221734,0.938254570541566,0.6373044524669073,0.15297450424929177,0.7456751871933902,0.38461538461538464,0.6710650329877473,0.6299694189602446,0.4897400820793434,QR cite GEX,8,0.7064098544491132
10,0.6684835271317829,0.5951661631419939,0.5579882138179176,0.644450747798688,0.04285714285714286,0.7173702868192072,0.8181296615031555,0.5125480857299872,0.5751789976133652,0.9272666888077051,0.6324054246966452,0.09686609686609687,0.7488323819408408,0.42424242424242425,0.6629834254143647,0.5951661631419939,0.5,QR merged cite GEX,8,0.0
11,0.4980014534883721,0.3738988580750408,0.3885891703692739,0.4966035502525814,,0.3738988580750408,0.6978588421887391,0.38384535726613733,0.137524557956778,0.721128852580765,0.4129213483146067,,0.5397435897435897,0.20030349013657053,0.37375745526838966,0.21374045801526717,0.21975806451612903,QR multiome GEX,8,0.07195750583914257
12,0.4707939680232558,0.35108048856874413,0.3659755127878359,0.47464631299317495,,0.35108048856874413,0.6627379873073437,0.37044892188052314,0.13268608414239483,0.7241308372762807,0.41037625613461093,,0.48543689320388356,0.19601328903654483,0.34372733865119653,0.17937219730941703,0.16972034715525555,QR merged multiome GEX,8,0.0
13,0.13649164244186046,0.09685230024213075,0.0884418271241743,0.13692976187373995,,0.14003692657293,0.13879858657243815,0.1832305231893991,0.015717092337917484,0.15736719011025727,0.09685230024213075,,0.13938811908355053,0.011131725417439703,0.047719298245614036,0.014814814814814815,0.027803521779425393,QR multiome ATAC,8,
14,0.3432957848837209,0.2877484425986354,0.26452009875961446,0.3588978926690984,,0.2877484425986354,0.4999419751653707,0.319871557366926,0.10884353741496598,0.46691568836712916,0.34106348090887795,,0.3198724760892667,0.15552099533437014,0.2220496894409938,0.07225806451612903,0.11563517915309447,MP ADT through GEX,8,0.2628896093969644
15,0.3696177504393673,0.16161235637596533,0.225333079562553,0.36185213072652533,0.0,0.29206009858067583,0.3128088795268573,0.3698445189669439,0.08796041781198462,0.6943316263464596,0.3308083428452838,0.0,0.3900235928547354,0.08148677626876341,0.16161235637596533,0.05420560747663551,0.15418781725888323,MP ATAC through GEX,8,0.3394761884056672
