Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Concerto_128_decoder_0.0,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.46228509813430635,0.002540345975723804,0.9999999999999926,0.49296501389045116,0.3318066080411275,0.396269970380857
Concerto_128_decoder_0.1,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.46125999743538165,0.002540345975723804,0.9999999999999926,0.49275999375066615,0.3318066080411275,0.39618796232494297
Concerto_128_encoder_0.0,0.5227805276597526,0.22608793843126831,0.5007203095592558,0.9948677301406861,0.95230806,0.3009149006434849,0.2621370905903839,0.7473248258956557,0.07460046007303839,0.46745706718825436,0.5611141264477406,0.5236513027439461
Concerto_128_encoder_0.1,0.5283060225938996,0.22976677767604986,0.5025907859671861,0.995581857363383,0.95257765,0.3000847612108503,0.23862691478219644,0.7539656448455689,0.08589284370371048,0.46622956301787066,0.5640613609001297,0.5249286417472261
Concerto_16_decoder_0.0,0.0,0.0,0.5,0.8272264162699382,1.0,-3.405979701450893e-07,0.46257708939722536,0.002540345975723804,0.9999999999999998,0.49302341895499574,0.3318066040674845,0.396293330022489
Concerto_16_decoder_0.1,0.0,0.0,0.5,0.8272264162699382,1.0,-3.405979701450893e-07,0.4599113548538263,0.002540345975723804,0.9999999999999998,0.4924902720463159,0.3318066040674845,0.39608007125901706
Concerto_16_encoder_0.0,0.5641015092410611,0.2570081782189047,0.5028168403077871,0.9967160979906718,0.9469146,0.28965786525181364,0.2638916078709295,0.772475619170896,0,0.45458794110811135,0.5801606564396061,0.5299315703070082
Concerto_16_encoder_0.1,0.5757690527988902,0.26919599589712456,0.5027177843730897,0.9967364231745403,0.9467638,0.2888528960091727,0.2420219141437266,0.7735067757241405,0,0.4502290798745351,0.5861048140609112,0.5317545203863607
Concerto_203_decoder_0.0,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.4622777768243647,0.002540345975723804,0.999999999999988,0.4929635496284619,0.3318066080411275,0.39626938467606126
Concerto_203_decoder_0.1,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.4639083702438766,0.002540345975723804,0.999999999999988,0.49328966831236426,0.3318066080411275,0.3963998321496222
Concerto_203_encoder_0.0,0.508970116961628,0.22291179451135612,0.5002129249769496,0.9952380736668904,0.9522622,0.30401240076337543,0.265033750794542,0.7476477134849663,0.10725741979107496,0.475242701520167,0.556833227529206,0.5241970171255904
Concerto_203_encoder_0.1,0.514070751087689,0.23333044103914086,0.5015211717691272,0.9943761467933655,0.9536845,0.30372272218976704,0.28011942150880015,0.7537381488799947,0.10475801632249995,0.4792045635403137,0.5608246276723307,0.5281766020195239
Concerto_32_decoder_0.0,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.4596958331636844,0.002540345975723804,0.9999999999999943,0.49244716089632706,0.3318066080411275,0.39606282918320734
Concerto_32_decoder_0.1,0.0,0.0,0.5,0.8272264321645101,1.0,-3.746577671595982e-07,0.46132356232758975,0.002540345975723804,0.9999999999999943,0.4927727067291081,0.3318066080411275,0.3961930475163198
Concerto_32_encoder_0.0,0.5144194705803655,0.22272603872256203,0.501891459687613,0.9952479004859924,0.9518686,0.2992627280099051,0.26732461230819227,0.7488761688922775,0.022453987348283147,0.45795721805028755,0.5585712173691333,0.518325617641595
Concerto_32_encoder_0.1,0.5211370454879946,0.2323068523436613,0.5030750134028494,0.9953954895337422,0.9510428,0.2985062599182129,0.2656332034951661,0.7515642115545014,0.08471718576406681,0.4702927264142727,0.5629786001920619,0.5259042506809463
Concerto_4_decoder_0.0,0.0,0.0,0.5,0.8272264162699382,1.0,-3.405979701450893e-07,0.46191186072111834,0.002540345975723804,0.9999999999999969,0.4928903732197738,0.3318066040674845,0.39624011172840023
Concerto_4_decoder_0.1,0.0,0.0,0.5,0.8272264162699382,1.0,-3.405979701450893e-07,0.46005848785586806,0.002540345975723804,0.9999999999999969,0.49251969864672374,0.3318066040674845,0.39609184189918023
Concerto_4_encoder_0.0,0.6377103911518636,0.3120428896380647,0.5164902936667204,0.9989667534828186,0.9320446,0.2728432927812849,0.22241308128165188,0.7451468167392324,0,0.43448956321689136,0.6163025819848669,0.5435773744776766
Concerto_4_encoder_0.1,0.6434889042576953,0.30498870275935286,0.5109398290514946,0.9988919178644816,0.9312447,0.27307724952697754,0.23587577758414863,0.7678777861760632,0,0.44161509692638934,0.6145773384832561,0.5453924418605094
