,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.8461434248554913,0.7825613079019074,0.7668560578185353,0.8585235898754741,0.0
1,16,False,0.8472723988439307,0.7514384349827387,0.7609539237313921,0.8555514203555644,0.0
2,32,False,0.8288927023121387,0.7750138197899392,0.7505617033085034,0.8423487296636195,0.0
3,64,False,0.8331376445086706,0.7449664429530201,0.7584379752273356,0.8451698016249606,0.0
4,100,False,0.8322344653179191,0.7660753880266076,0.7456982187040372,0.8438715021809402,0.0
5,8,True,0.8224801300578035,0.7373380447585395,0.7417656846573917,0.8366604746392129,0.0
6,16,True,0.8064938583815029,0.7567870137139658,0.7265705113991847,0.8214885991118959,0.0
7,32,True,0.8060874277456648,0.7495961227786752,0.7214805837907214,0.818978855114983,0.0
8,64,True,0.8213963150289018,0.7603036876355749,0.7379429367917112,0.8338558380967716,0.0
9,100,True,0.803739161849711,0.6988039144617615,0.7100109273039399,0.8161946637737441,0.0
