,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.8213511560693642,0.8032274856845393,0.7369115965479388,0.8372507152568107,0.0
1,16,False,0.821893063583815,0.7946445771527644,0.7528156084618272,0.8384885628732038,0.0
2,32,False,0.8161578757225434,0.7843137254901961,0.7411185869233594,0.8303850544105171,0.0
3,64,False,0.8035585260115607,0.7606860876667574,0.7239078736970129,0.8228626923110203,0.0
4,128,False,0.8108742774566474,0.7584650112866818,0.728914635436473,0.8251018292694611,0.0
5,150,False,0.809654985549133,0.7798717699630852,0.7351314402110412,0.8270341622435621,0.0
6,8,True,0.8154353323699421,0.7713125845737483,0.7447760451643027,0.8334160486213258,0.0
7,16,True,0.7959718208092486,0.7511860832894044,0.7283429876399183,0.81606641313215,0.0
8,32,True,0.778404985549133,0.7326208651399492,0.7159907090619146,0.8004256918484981,0.0
9,64,True,0.8044617052023122,0.7556647556647555,0.7319657951524848,0.8208148881183672,0.0
10,128,True,0.7981846098265896,0.759075907590759,0.724597113292518,0.8159321093606736,0.0
11,150,True,0.7864432803468208,0.7464167585446526,0.7089592301531252,0.8040512705729449,0.0
