,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.7819273843930635,0.7068461088355763,0.6860807268013125,0.7970732312475313,0.0
1,16,False,0.786307803468208,0.73224043715847,0.6924118373601901,0.797215025371822,0.0
2,32,False,0.7648572976878613,0.7011892963330031,0.6799924976550696,0.7838224010471415,0.0
3,64,False,0.7594382225433526,0.7075449101796407,0.6784702994860639,0.7768176052060907,0.0
4,100,False,0.7461163294797688,0.6884870679789425,0.6616214191758866,0.762490603711379,0.0
