,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.8997246168582376,0.8734402852049911,0.7735611936127762,0.8909069313791624,0.0
1,16,False,0.8974497126436781,0.8760907504363001,0.7747909160337774,0.8876888233488233,0.0
2,32,False,0.8945162835249042,0.8665511265164645,0.7712833101769979,0.8847121092794783,0.0
3,64,False,0.8938577586206896,0.8646748681898067,0.7640023046607463,0.8842834506782226,0.0
4,128,False,0.8920019157088123,0.8734402852049911,0.759541067580522,0.881104161573122,0.0
5,150,False,0.8930196360153256,0.8646748681898067,0.7640517488675435,0.8827142157077456,0.0
6,8,True,0.9118175287356322,0.9040139616055847,0.8232761530238548,0.9053896895980512,0.0
7,16,True,0.9135536398467433,0.9010238907849829,0.8297152588693805,0.9073372613263008,0.0
8,32,True,0.9012811302681992,0.8980322003577819,0.8169562266517532,0.8937492228900566,0.0
9,64,True,0.9163074712643678,0.8963093145869947,0.836342142114938,0.9106208340026963,0.0
10,128,True,0.912595785440613,0.8932384341637011,0.8325717180394308,0.9054824948595533,0.0
11,150,True,0.9169659961685823,0.8922056384742952,0.8338140523679649,0.9122068100548048,0.0
