,epoch,onlyRNA,accuracy,f1_median,f1_macro,f1_weighted,pearson
0,8,False,0.9056513409961686,0.8854166666666666,0.7956436946974228,0.898076837594861,0.0
1,16,False,0.9085249042145593,0.8881118881118881,0.80028873192775,0.9019477656494743,0.0
2,32,False,0.9033165708812261,0.8910733262486715,0.7870560827480306,0.894204421528162,0.0
3,64,False,0.9034961685823755,0.8782287822878229,0.7885043302447389,0.8957485385644219,0.0
4,100,False,0.9066091954022989,0.8966725043782837,0.8001719079681173,0.8991430680914121,0.0
5,8,True,0.9154693486590039,0.9057239057239057,0.8321497527084829,0.9082672114350687,0.0
6,16,True,0.9125359195402298,0.9180887372013653,0.8299582737099374,0.9057093477053153,0.0
7,32,True,0.9170258620689655,0.9096989966555183,0.8356909260263653,0.9097673648543343,0.0
8,64,True,0.915110153256705,0.9182608695652175,0.8346443285491875,0.9096734117580917,0.0
9,100,True,0.9197198275862069,0.9209138840070299,0.8367287285488776,0.9117099182524954,0.0
